initial acc is 0.566233217716217.
bit pos is 0, acc decrease is 0.008323073387145996.
bit pos is 1, acc decrease is 0.0033794045448303223.
bit pos is 2, acc decrease is 0.0026001334190368652.
bit pos is 3, acc decrease is 0.02963864803314209.
bit pos is 4, acc decrease is 0.01464611291885376.
bit pos is 5, acc decrease is 0.004789769649505615.
bit pos is 6, acc decrease is 0.005457162857055664.
bit pos is 7, acc decrease is 0.0012285113334655762.
bit pos is 8, acc decrease is 0.0038682222366333008.
bit pos is 9, acc decrease is 0.02292722463607788.
bit pos is 10, acc decrease is 0.01252073049545288.
bit pos is 11, acc decrease is 0.0027959346771240234.
bit pos is 12, acc decrease is 0.0036269426345825195.
bit pos is 13, acc decrease is 0.03153926134109497.
bit pos is 14, acc decrease is 0.0008243322372436523.
bit pos is 15, acc decrease is 0.0075318217277526855.
bit pos is 16, acc decrease is 3.039836883544922e-06.
bit pos is 17, acc decrease is 7.748603820800781e-07.
bit pos is 18, acc decrease is 4.172325134277344e-06.
bit pos is 19, acc decrease is 2.562999725341797e-06.
bit pos is 20, acc decrease is 2.7418136596679688e-06.
bit pos is 21, acc decrease is -1.9073486328125e-06.
bit pos is 22, acc decrease is -1.3709068298339844e-06.
bit pos is 23, acc decrease is -7.748603820800781e-07.
bit pos is 24, acc decrease is 1.2516975402832031e-06.
bit pos is 25, acc decrease is -2.0265579223632812e-06.
bit pos is 26, acc decrease is -2.384185791015625e-06.
bit pos is 27, acc decrease is -1.0132789611816406e-06.
bit pos is 28, acc decrease is 8.940696716308594e-07.
bit pos is 29, acc decrease is 2.0265579223632812e-06.
bit pos is 30, acc decrease is -4.589557647705078e-06.
bit pos is 31, acc decrease is 2.7418136596679688e-06.
bit pos is 32, acc decrease is 0.0002435445785522461.
bit pos is 33, acc decrease is 0.006004631519317627.
bit pos is 34, acc decrease is 0.004788458347320557.
bit pos is 35, acc decrease is 0.001277327537536621.
bit pos is 36, acc decrease is 0.0012014508247375488.
bit pos is 37, acc decrease is 0.0212632417678833.
bit pos is 38, acc decrease is 0.0006919503211975098.
bit pos is 39, acc decrease is 0.005020558834075928.
bit pos is 40, acc decrease is 0.0019472241401672363.
bit pos is 41, acc decrease is 0.0001488327980041504.
bit pos is 42, acc decrease is 0.0033122897148132324.
bit pos is 43, acc decrease is 0.017646431922912598.
bit pos is 44, acc decrease is 0.0037509799003601074.
bit pos is 45, acc decrease is 0.0006046891212463379.
bit pos is 46, acc decrease is 0.004603326320648193.
bit pos is 47, acc decrease is 0.0006353259086608887.
