initial acc is 0.518189013004303.
bit pos is 0, acc decrease is 0.0004611015319824219.
bit pos is 1, acc decrease is 0.00682753324508667.
bit pos is 2, acc decrease is 0.004154503345489502.
bit pos is 3, acc decrease is 0.0012459754943847656.
bit pos is 4, acc decrease is 0.0005723834037780762.
bit pos is 5, acc decrease is 0.008125901222229004.
bit pos is 6, acc decrease is 0.0007364749908447266.
bit pos is 7, acc decrease is 0.004128158092498779.
bit pos is 8, acc decrease is 0.002368927001953125.
bit pos is 9, acc decrease is 0.0004991888999938965.
bit pos is 10, acc decrease is 0.0009554028511047363.
bit pos is 11, acc decrease is 0.01207590103149414.
bit pos is 12, acc decrease is 0.0044931769371032715.
bit pos is 13, acc decrease is 0.0008544325828552246.
bit pos is 14, acc decrease is 0.0017641186714172363.
bit pos is 15, acc decrease is 0.0006142854690551758.
bit pos is 16, acc decrease is -1.1324882507324219e-06.
bit pos is 17, acc decrease is -5.066394805908203e-06.
bit pos is 18, acc decrease is 2.384185791015625e-07.
bit pos is 19, acc decrease is -3.5762786865234375e-06.
bit pos is 20, acc decrease is -7.033348083496094e-06.
bit pos is 21, acc decrease is -1.3768672943115234e-05.
bit pos is 22, acc decrease is -2.0265579223632812e-06.
bit pos is 23, acc decrease is -5.245208740234375e-06.
bit pos is 24, acc decrease is -4.827976226806641e-06.
bit pos is 25, acc decrease is -5.781650543212891e-06.
bit pos is 26, acc decrease is -3.2782554626464844e-06.
bit pos is 27, acc decrease is -2.2649765014648438e-06.
bit pos is 28, acc decrease is -7.62939453125e-06.
bit pos is 29, acc decrease is 2.205371856689453e-06.
bit pos is 30, acc decrease is -9.357929229736328e-06.
bit pos is 31, acc decrease is -2.682209014892578e-06.
bit pos is 32, acc decrease is 0.0009819865226745605.
bit pos is 33, acc decrease is 0.0001728534698486328.
bit pos is 34, acc decrease is 0.00012195110321044922.
bit pos is 35, acc decrease is 0.005389571189880371.
bit pos is 36, acc decrease is 0.0015954375267028809.
bit pos is 37, acc decrease is 0.0004151463508605957.
bit pos is 38, acc decrease is 0.0002917051315307617.
bit pos is 40, acc decrease is 0.0006563663482666016.
bit pos is 41, acc decrease is 0.0038784146308898926.
bit pos is 42, acc decrease is 0.0007883906364440918.
bit pos is 43, acc decrease is 4.0590763092041016e-05.
bit pos is 44, acc decrease is 0.0004641413688659668.
bit pos is 45, acc decrease is 0.008303284645080566.
bit pos is 46, acc decrease is 3.814697265625e-06.
bit pos is 47, acc decrease is 0.0006002187728881836.
