initial acc is 0.6593244671821594.
bit pos is 0, acc decrease is 0.0036391615867614746.
bit pos is 1, acc decrease is 0.05633586645126343.
bit pos is 2, acc decrease is 0.03573167324066162.
bit pos is 3, acc decrease is 0.01619511842727661.
bit pos is 4, acc decrease is 0.02211463451385498.
bit pos is 5, acc decrease is 0.05758821964263916.
bit pos is 6, acc decrease is 0.005862176418304443.
bit pos is 7, acc decrease is 0.04003959894180298.
bit pos is 8, acc decrease is 0.023128509521484375.
bit pos is 9, acc decrease is 0.0050400495529174805.
bit pos is 10, acc decrease is 0.0345383882522583.
bit pos is 11, acc decrease is 0.07418471574783325.
bit pos is 12, acc decrease is 0.021898627281188965.
bit pos is 13, acc decrease is 0.009893298149108887.
bit pos is 14, acc decrease is 0.04140365123748779.
bit pos is 15, acc decrease is 0.006258904933929443.
bit pos is 16, acc decrease is 4.589557647705078e-06.
bit pos is 17, acc decrease is 2.9802322387695312e-06.
bit pos is 18, acc decrease is 5.9604644775390625e-06.
bit pos is 19, acc decrease is 4.410743713378906e-06.
bit pos is 20, acc decrease is 2.2649765014648438e-06.
bit pos is 21, acc decrease is 1.7285346984863281e-06.
bit pos is 22, acc decrease is 1.3709068298339844e-06.
bit pos is 23, acc decrease is 7.510185241699219e-06.
bit pos is 24, acc decrease is 4.0531158447265625e-06.
bit pos is 25, acc decrease is 4.351139068603516e-06.
bit pos is 26, acc decrease is 4.172325134277344e-07.
bit pos is 27, acc decrease is 3.3974647521972656e-06.
bit pos is 28, acc decrease is -1.2516975402832031e-06.
bit pos is 29, acc decrease is -1.5497207641601562e-06.
bit pos is 30, acc decrease is 5.304813385009766e-06.
bit pos is 31, acc decrease is -1.0132789611816406e-06.
bit pos is 32, acc decrease is 0.010219812393188477.
bit pos is 33, acc decrease is 0.0015807747840881348.
bit pos is 34, acc decrease is 0.0017287135124206543.
bit pos is 35, acc decrease is 0.04372823238372803.
bit pos is 36, acc decrease is 0.011811971664428711.
bit pos is 37, acc decrease is 0.01075512170791626.
bit pos is 38, acc decrease is 0.013187587261199951.
bit pos is 39, acc decrease is 0.0010699033737182617.
bit pos is 40, acc decrease is 0.004020094871520996.
bit pos is 41, acc decrease is 0.029899537563323975.
bit pos is 42, acc decrease is 0.007657825946807861.
bit pos is 43, acc decrease is 0.0010228157043457031.
bit pos is 44, acc decrease is 0.033333003520965576.
bit pos is 45, acc decrease is 0.04574233293533325.
bit pos is 46, acc decrease is 0.000959932804107666.
bit pos is 47, acc decrease is 0.0060974955558776855.
