initial acc is 0.5232572555541992.
bit pos is 0, acc decrease is 0.0072051286697387695.
bit pos is 1, acc decrease is 0.006444334983825684.
bit pos is 2, acc decrease is 0.00015604496002197266.
bit pos is 3, acc decrease is 7.748603820800781e-06.
bit pos is 4, acc decrease is 0.001332402229309082.
bit pos is 5, acc decrease is 0.0002200603485107422.
bit pos is 6, acc decrease is -2.759695053100586e-05.
bit pos is 7, acc decrease is 2.9206275939941406e-06.
bit pos is 8, acc decrease is 0.0001353621482849121.
bit pos is 9, acc decrease is -3.337860107421875e-05.
bit pos is 10, acc decrease is -2.282857894897461e-05.
bit pos is 11, acc decrease is -1.6689300537109375e-06.
bit pos is 12, acc decrease is 8.285045623779297e-06.
bit pos is 13, acc decrease is 3.159046173095703e-06.
bit pos is 14, acc decrease is 8.285045623779297e-06.
bit pos is 15, acc decrease is 6.020069122314453e-06.
bit pos is 16, acc decrease is -4.756450653076172e-05.
bit pos is 17, acc decrease is -1.5020370483398438e-05.
bit pos is 18, acc decrease is 1.1742115020751953e-05.
bit pos is 19, acc decrease is -9.715557098388672e-06.
bit pos is 20, acc decrease is -3.516674041748047e-06.
bit pos is 21, acc decrease is -3.993511199951172e-06.
bit pos is 22, acc decrease is 8.046627044677734e-06.
bit pos is 23, acc decrease is -1.1920928955078125e-05.
bit pos is 24, acc decrease is -2.0444393157958984e-05.
bit pos is 25, acc decrease is -4.4226646423339844e-05.
bit pos is 26, acc decrease is -3.224611282348633e-05.
bit pos is 27, acc decrease is -4.267692565917969e-05.
bit pos is 28, acc decrease is 1.6033649444580078e-05.
bit pos is 29, acc decrease is -2.658367156982422e-05.
bit pos is 30, acc decrease is -2.384185791015625e-07.
bit pos is 31, acc decrease is 3.403425216674805e-05.
bit pos is 32, acc decrease is -1.1980533599853516e-05.
bit pos is 33, acc decrease is -2.6464462280273438e-05.
bit pos is 34, acc decrease is -9.715557098388672e-06.
bit pos is 35, acc decrease is -2.8014183044433594e-06.
bit pos is 36, acc decrease is 4.6193599700927734e-05.
bit pos is 37, acc decrease is -3.24249267578125e-05.
bit pos is 38, acc decrease is 8.404254913330078e-06.
bit pos is 39, acc decrease is -9.417533874511719e-06.
bit pos is 40, acc decrease is 2.4557113647460938e-05.
bit pos is 41, acc decrease is 2.962350845336914e-05.
bit pos is 42, acc decrease is 4.863739013671875e-05.
bit pos is 43, acc decrease is 1.2099742889404297e-05.
bit pos is 44, acc decrease is 6.127357482910156e-05.
bit pos is 45, acc decrease is 0.00011211633682250977.
bit pos is 46, acc decrease is 0.0001526474952697754.
bit pos is 47, acc decrease is 0.00027382373809814453.
bit pos is 48, acc decrease is 0.00024020671844482422.
bit pos is 49, acc decrease is 0.0005245208740234375.
bit pos is 50, acc decrease is 0.00039386749267578125.
bit pos is 51, acc decrease is 0.0004527568817138672.
