initial acc is 0.5642092227935791.
bit pos is 0, acc decrease is 0.003040611743927002.
bit pos is 1, acc decrease is 0.0064386725425720215.
bit pos is 2, acc decrease is 0.007807433605194092.
bit pos is 3, acc decrease is 0.003668367862701416.
bit pos is 4, acc decrease is 0.0025230050086975098.
bit pos is 5, acc decrease is 4.9591064453125e-05.
bit pos is 6, acc decrease is 0.0002657175064086914.
bit pos is 7, acc decrease is 0.0010271668434143066.
bit pos is 8, acc decrease is 0.0025537610054016113.
bit pos is 9, acc decrease is 0.006230533123016357.
bit pos is 10, acc decrease is 0.01513659954071045.
bit pos is 11, acc decrease is 0.014969944953918457.
bit pos is 12, acc decrease is 1.5139579772949219e-05.
bit pos is 13, acc decrease is 2.5391578674316406e-05.
bit pos is 14, acc decrease is 8.940696716308594e-06.
bit pos is 15, acc decrease is 5.543231964111328e-06.
bit pos is 16, acc decrease is 0.0023797154426574707.
bit pos is 17, acc decrease is 0.005838751792907715.
bit pos is 18, acc decrease is 0.027804911136627197.
bit pos is 19, acc decrease is 0.04894876480102539.
bit pos is 20, acc decrease is 0.007991135120391846.
bit pos is 21, acc decrease is 0.007396280765533447.
bit pos is 22, acc decrease is 0.00011175870895385742.
bit pos is 23, acc decrease is 0.0005907416343688965.
bit pos is 24, acc decrease is 0.001784205436706543.
bit pos is 25, acc decrease is 0.006937742233276367.
bit pos is 26, acc decrease is 0.02304631471633911.
bit pos is 27, acc decrease is 0.032561659812927246.
bit pos is 28, acc decrease is 0.041030824184417725.
bit pos is 29, acc decrease is 9.715557098388672e-06.
bit pos is 30, acc decrease is 2.6345252990722656e-05.
bit pos is 31, acc decrease is 1.2874603271484375e-05.
bit pos is 32, acc decrease is 3.2782554626464844e-06.
bit pos is 33, acc decrease is 1.0013580322265625e-05.
bit pos is 34, acc decrease is 3.0994415283203125e-06.
bit pos is 35, acc decrease is 1.6570091247558594e-05.
bit pos is 36, acc decrease is 2.86102294921875e-06.
bit pos is 37, acc decrease is -1.4901161193847656e-06.
bit pos is 38, acc decrease is 8.285045623779297e-06.
bit pos is 39, acc decrease is 3.635883331298828e-06.
bit pos is 40, acc decrease is 1.341104507446289e-05.
bit pos is 41, acc decrease is -5.7220458984375e-06.
bit pos is 42, acc decrease is 2.1457672119140625e-06.
bit pos is 43, acc decrease is 9.655952453613281e-06.
bit pos is 44, acc decrease is -5.4836273193359375e-06.
bit pos is 45, acc decrease is 4.76837158203125e-06.
bit pos is 46, acc decrease is -6.794929504394531e-06.
bit pos is 47, acc decrease is -6.556510925292969e-07.
bit pos is 48, acc decrease is 0.0013292431831359863.
bit pos is 49, acc decrease is 0.004065990447998047.
bit pos is 50, acc decrease is 0.01165008544921875.
bit pos is 51, acc decrease is 0.018290281295776367.
bit pos is 52, acc decrease is 0.007897138595581055.
bit pos is 53, acc decrease is 0.007291972637176514.
bit pos is 54, acc decrease is -2.2470951080322266e-05.
bit pos is 55, acc decrease is 0.00011777877807617188.
bit pos is 56, acc decrease is 0.0008696913719177246.
bit pos is 57, acc decrease is 0.0027847886085510254.
bit pos is 58, acc decrease is 0.006076812744140625.
bit pos is 59, acc decrease is 0.025513529777526855.
bit pos is 60, acc decrease is 0.03493034839630127.
bit pos is 61, acc decrease is 1.341104507446289e-05.
bit pos is 62, acc decrease is 3.337860107421875e-06.
bit pos is 63, acc decrease is 1.1205673217773438e-05.
