initial acc is 0.591015100479126.
bit pos is 0, acc decrease is 4.673004150390625e-05.
bit pos is 1, acc decrease is -3.218650817871094e-05.
bit pos is 2, acc decrease is 1.7404556274414062e-05.
bit pos is 3, acc decrease is 1.2636184692382812e-05.
bit pos is 4, acc decrease is -6.9141387939453125e-06.
bit pos is 5, acc decrease is 1.4066696166992188e-05.
bit pos is 6, acc decrease is 1.5020370483398438e-05.
bit pos is 7, acc decrease is 9.5367431640625e-07.
bit pos is 8, acc decrease is 3.6716461181640625e-05.
bit pos is 9, acc decrease is 2.5033950805664062e-05.
bit pos is 10, acc decrease is -6.67572021484375e-06.
bit pos is 11, acc decrease is 3.743171691894531e-05.
bit pos is 12, acc decrease is 7.390975952148438e-05.
bit pos is 13, acc decrease is 3.4809112548828125e-05.
bit pos is 14, acc decrease is 0.00019669532775878906.
bit pos is 15, acc decrease is 0.0006654262542724609.
bit pos is 16, acc decrease is 0.0026760101318359375.
bit pos is 17, acc decrease is 0.007355928421020508.
bit pos is 18, acc decrease is 0.01712203025817871.
bit pos is 19, acc decrease is 0.024738311767578125.
bit pos is 20, acc decrease is 0.017918825149536133.
bit pos is 21, acc decrease is -4.792213439941406e-05.
bit pos is 22, acc decrease is -7.152557373046875e-06.
bit pos is 23, acc decrease is -1.3589859008789062e-05.
bit pos is 24, acc decrease is 6.556510925292969e-05.
bit pos is 25, acc decrease is 0.00014448165893554688.
bit pos is 26, acc decrease is 0.0006744861602783203.
bit pos is 27, acc decrease is 0.0017161369323730469.
bit pos is 28, acc decrease is 0.0016279220581054688.
bit pos is 29, acc decrease is 3.409385681152344e-05.
bit pos is 30, acc decrease is 5.0067901611328125e-06.
bit pos is 31, acc decrease is 3.743171691894531e-05.
bit pos is 32, acc decrease is -4.291534423828125e-06.
bit pos is 33, acc decrease is -1.9073486328125e-06.
bit pos is 34, acc decrease is 8.821487426757812e-06.
bit pos is 35, acc decrease is -1.3589859008789062e-05.
bit pos is 36, acc decrease is -3.0279159545898438e-05.
bit pos is 37, acc decrease is -5.3882598876953125e-05.
bit pos is 38, acc decrease is -5.745887756347656e-05.
bit pos is 39, acc decrease is 2.956390380859375e-05.
bit pos is 40, acc decrease is -5.125999450683594e-05.
bit pos is 41, acc decrease is 5.650520324707031e-05.
bit pos is 42, acc decrease is 3.8623809814453125e-05.
bit pos is 43, acc decrease is -6.4373016357421875e-06.
bit pos is 44, acc decrease is 1.049041748046875e-05.
bit pos is 45, acc decrease is -9.5367431640625e-07.
bit pos is 46, acc decrease is 2.288818359375e-05.
bit pos is 47, acc decrease is 7.43865966796875e-05.
bit pos is 48, acc decrease is 5.435943603515625e-05.
bit pos is 49, acc decrease is -2.1457672119140625e-06.
bit pos is 50, acc decrease is -1.8835067749023438e-05.
bit pos is 51, acc decrease is -3.814697265625e-05.
bit pos is 52, acc decrease is 1.2636184692382812e-05.
bit pos is 53, acc decrease is -4.553794860839844e-05.
bit pos is 54, acc decrease is -5.078315734863281e-05.
bit pos is 55, acc decrease is -3.0517578125e-05.
bit pos is 56, acc decrease is -2.6941299438476562e-05.
bit pos is 57, acc decrease is -1.52587890625e-05.
bit pos is 58, acc decrease is 8.821487426757812e-06.
bit pos is 59, acc decrease is -1.6689300537109375e-05.
bit pos is 60, acc decrease is -1.9788742065429688e-05.
bit pos is 61, acc decrease is 1.4781951904296875e-05.
bit pos is 62, acc decrease is -5.0067901611328125e-06.
bit pos is 63, acc decrease is -2.384185791015625e-06.
bit pos is 64, acc decrease is -9.059906005859375e-06.
bit pos is 65, acc decrease is -1.049041748046875e-05.
bit pos is 66, acc decrease is 2.5272369384765625e-05.
bit pos is 67, acc decrease is 9.775161743164062e-06.
bit pos is 68, acc decrease is 3.5762786865234375e-06.
bit pos is 69, acc decrease is 4.5299530029296875e-05.
bit pos is 70, acc decrease is -1.0728836059570312e-05.
bit pos is 71, acc decrease is 5.9604644775390625e-05.
bit pos is 72, acc decrease is -5.459785461425781e-05.
bit pos is 73, acc decrease is -3.933906555175781e-05.
bit pos is 74, acc decrease is -8.344650268554688e-06.
bit pos is 75, acc decrease is -3.0517578125e-05.
bit pos is 76, acc decrease is 5.4836273193359375e-06.
bit pos is 77, acc decrease is 1.2636184692382812e-05.
bit pos is 78, acc decrease is 6.818771362304688e-05.
bit pos is 79, acc decrease is 0.0004398822784423828.
bit pos is 80, acc decrease is 0.0015561580657958984.
bit pos is 81, acc decrease is 0.005503416061401367.
bit pos is 82, acc decrease is 0.015874385833740234.
bit pos is 83, acc decrease is 0.032418012619018555.
bit pos is 84, acc decrease is 0.050969839096069336.
bit pos is 85, acc decrease is 0.04759073257446289.
bit pos is 86, acc decrease is -4.029273986816406e-05.
bit pos is 87, acc decrease is -1.2159347534179688e-05.
bit pos is 88, acc decrease is 3.314018249511719e-05.
bit pos is 89, acc decrease is 0.00014519691467285156.
bit pos is 90, acc decrease is 0.0017421245574951172.
bit pos is 91, acc decrease is 0.022687911987304688.
bit pos is 92, acc decrease is 0.05186128616333008.
bit pos is 93, acc decrease is 0.05191230773925781.
bit pos is 94, acc decrease is 0.00012350082397460938.
bit pos is 95, acc decrease is -5.459785461425781e-05.
bit pos is 96, acc decrease is 8.821487426757812e-05.
bit pos is 97, acc decrease is 3.457069396972656e-05.
bit pos is 98, acc decrease is 4.172325134277344e-05.
bit pos is 99, acc decrease is 0.0003578662872314453.
bit pos is 100, acc decrease is 0.002609729766845703.
bit pos is 101, acc decrease is 0.004691123962402344.
bit pos is 102, acc decrease is -8.749961853027344e-05.
bit pos is 103, acc decrease is 2.1696090698242188e-05.
bit pos is 104, acc decrease is 3.2901763916015625e-05.
bit pos is 105, acc decrease is 3.719329833984375e-05.
bit pos is 106, acc decrease is 5.1021575927734375e-05.
bit pos is 107, acc decrease is 1.1920928955078125e-06.
bit pos is 108, acc decrease is 1.5497207641601562e-05.
bit pos is 109, acc decrease is 8.487701416015625e-05.
bit pos is 110, acc decrease is 9.799003601074219e-05.
bit pos is 111, acc decrease is 3.4332275390625e-05.
bit pos is 112, acc decrease is 4.744529724121094e-05.
bit pos is 113, acc decrease is -1.9311904907226562e-05.
bit pos is 114, acc decrease is 6.67572021484375e-06.
bit pos is 115, acc decrease is 2.765655517578125e-05.
bit pos is 116, acc decrease is 3.552436828613281e-05.
bit pos is 117, acc decrease is -7.867813110351562e-06.
bit pos is 118, acc decrease is -3.075599670410156e-05.
bit pos is 119, acc decrease is 2.3126602172851562e-05.
bit pos is 120, acc decrease is -4.029273986816406e-05.
bit pos is 121, acc decrease is -1.0013580322265625e-05.
bit pos is 122, acc decrease is 2.86102294921875e-06.
bit pos is 123, acc decrease is -0.0001049041748046875.
bit pos is 124, acc decrease is -2.2411346435546875e-05.
bit pos is 125, acc decrease is 8.821487426757812e-06.
bit pos is 126, acc decrease is -4.0531158447265625e-05.
bit pos is 127, acc decrease is 8.344650268554688e-06.
bit pos is 128, acc decrease is 1.430511474609375e-06.
bit pos is 129, acc decrease is 1.1920928955078125e-06.
bit pos is 130, acc decrease is 4.291534423828125e-06.
bit pos is 131, acc decrease is 1.1444091796875e-05.
bit pos is 132, acc decrease is 3.814697265625e-06.
bit pos is 133, acc decrease is -4.0531158447265625e-06.
bit pos is 134, acc decrease is 9.5367431640625e-07.
bit pos is 135, acc decrease is -2.1457672119140625e-06.
bit pos is 136, acc decrease is 2.384185791015625e-06.
bit pos is 137, acc decrease is 5.0067901611328125e-06.
bit pos is 138, acc decrease is -7.152557373046875e-07.
bit pos is 139, acc decrease is 8.106231689453125e-06.
bit pos is 140, acc decrease is 7.867813110351562e-06.
bit pos is 141, acc decrease is 2.6226043701171875e-06.
bit pos is 142, acc decrease is 8.821487426757812e-06.
bit pos is 143, acc decrease is -1.1205673217773438e-05.
bit pos is 144, acc decrease is -8.344650268554688e-06.
bit pos is 145, acc decrease is 1.4781951904296875e-05.
bit pos is 146, acc decrease is 1.2636184692382812e-05.
bit pos is 147, acc decrease is 1.5020370483398438e-05.
bit pos is 148, acc decrease is 3.314018249511719e-05.
bit pos is 149, acc decrease is 2.1457672119140625e-06.
bit pos is 150, acc decrease is -2.6226043701171875e-06.
bit pos is 151, acc decrease is 2.86102294921875e-06.
bit pos is 152, acc decrease is -9.5367431640625e-06.
bit pos is 153, acc decrease is -4.0531158447265625e-06.
bit pos is 154, acc decrease is 6.198883056640625e-06.
bit pos is 155, acc decrease is -1.0967254638671875e-05.
bit pos is 156, acc decrease is 5.7220458984375e-06.
bit pos is 157, acc decrease is -7.867813110351562e-06.
bit pos is 158, acc decrease is -8.344650268554688e-06.
bit pos is 159, acc decrease is 6.9141387939453125e-06.
bit pos is 160, acc decrease is 6.9141387939453125e-06.
bit pos is 161, acc decrease is 2.86102294921875e-06.
bit pos is 162, acc decrease is -1.9073486328125e-06.
bit pos is 163, acc decrease is -2.384185791015625e-07.
bit pos is 164, acc decrease is 1.1920928955078125e-06.
bit pos is 165, acc decrease is -5.7220458984375e-06.
bit pos is 166, acc decrease is 2.86102294921875e-06.
bit pos is 167, acc decrease is 1.6689300537109375e-06.
bit pos is 168, acc decrease is 6.67572021484375e-06.
bit pos is 169, acc decrease is 6.4373016357421875e-06.
bit pos is 170, acc decrease is 7.152557373046875e-07.
bit pos is 171, acc decrease is -3.814697265625e-06.
bit pos is 172, acc decrease is -3.337860107421875e-06.
bit pos is 173, acc decrease is -4.5299530029296875e-06.
bit pos is 174, acc decrease is -1.0251998901367188e-05.
bit pos is 175, acc decrease is 2.384185791015625e-07.
bit pos is 176, acc decrease is 2.86102294921875e-06.
bit pos is 177, acc decrease is 1.0967254638671875e-05.
bit pos is 178, acc decrease is 1.1920928955078125e-06.
bit pos is 179, acc decrease is -5.9604644775390625e-06.
bit pos is 180, acc decrease is 7.152557373046875e-06.
bit pos is 181, acc decrease is 2.384185791015625e-06.
bit pos is 182, acc decrease is -1.0013580322265625e-05.
bit pos is 183, acc decrease is -2.384185791015625e-07.
bit pos is 184, acc decrease is -3.814697265625e-06.
bit pos is 185, acc decrease is 9.298324584960938e-06.
bit pos is 186, acc decrease is -9.5367431640625e-07.
bit pos is 187, acc decrease is 6.4373016357421875e-06.
bit pos is 188, acc decrease is 3.0994415283203125e-06.
bit pos is 189, acc decrease is -6.4373016357421875e-06.
bit pos is 190, acc decrease is -1.430511474609375e-06.
bit pos is 191, acc decrease is 1.430511474609375e-06.
bit pos is 192, acc decrease is -8.58306884765625e-06.
bit pos is 193, acc decrease is -2.9802322387695312e-05.
bit pos is 194, acc decrease is -2.6464462280273438e-05.
bit pos is 195, acc decrease is -1.4543533325195312e-05.
