initial acc is 0.827538013458252.
bit pos is 119, acc decrease is -1.9073486328125e-06.
bit pos is 120, acc decrease is 1.3589859008789062e-05.
bit pos is 121, acc decrease is -6.580352783203125e-05.
bit pos is 122, acc decrease is -1.8358230590820312e-05.
bit pos is 123, acc decrease is 7.3909759521484375e-06.
bit pos is 124, acc decrease is -6.389617919921875e-05.
bit pos is 125, acc decrease is -4.887580871582031e-05.
bit pos is 126, acc decrease is 7.152557373046875e-07.
bit pos is 127, acc decrease is 6.4373016357421875e-06.
bit pos is 128, acc decrease is 3.814697265625e-06.
bit pos is 129, acc decrease is 1.0728836059570312e-05.
bit pos is 130, acc decrease is -5.4836273193359375e-06.
bit pos is 131, acc decrease is -8.344650268554688e-06.
bit pos is 132, acc decrease is -2.86102294921875e-06.
bit pos is 133, acc decrease is -2.384185791015625e-06.
bit pos is 134, acc decrease is -2.384185791015625e-06.
bit pos is 135, acc decrease is 2.86102294921875e-06.
bit pos is 136, acc decrease is 4.76837158203125e-07.
bit pos is 137, acc decrease is 7.152557373046875e-07.
bit pos is 138, acc decrease is -4.76837158203125e-07.
bit pos is 139, acc decrease is -6.67572021484375e-06.
bit pos is 140, acc decrease is 4.5299530029296875e-06.
bit pos is 141, acc decrease is 5.245208740234375e-06.
bit pos is 142, acc decrease is 1.2874603271484375e-05.
bit pos is 143, acc decrease is 3.814697265625e-06.
bit pos is 144, acc decrease is -8.821487426757812e-06.
bit pos is 145, acc decrease is -1.1682510375976562e-05.
bit pos is 146, acc decrease is -1.049041748046875e-05.
bit pos is 147, acc decrease is -1.4781951904296875e-05.
bit pos is 148, acc decrease is -4.291534423828125e-06.
bit pos is 149, acc decrease is -8.821487426757812e-06.
bit pos is 150, acc decrease is 4.5299530029296875e-06.
bit pos is 151, acc decrease is -5.245208740234375e-06.
bit pos is 152, acc decrease is 5.7220458984375e-06.
bit pos is 153, acc decrease is 2.384185791015625e-07.
bit pos is 154, acc decrease is -2.6226043701171875e-06.
bit pos is 155, acc decrease is 8.344650268554688e-06.
bit pos is 156, acc decrease is 1.9311904907226562e-05.
bit pos is 157, acc decrease is -5.0067901611328125e-06.
bit pos is 158, acc decrease is 4.76837158203125e-07.
bit pos is 159, acc decrease is 2.384185791015625e-07.
bit pos is 160, acc decrease is -3.5762786865234375e-06.
bit pos is 161, acc decrease is 1.1920928955078125e-06.
bit pos is 162, acc decrease is -2.6226043701171875e-06.
bit pos is 163, acc decrease is 4.76837158203125e-07.
bit pos is 164, acc decrease is 5.0067901611328125e-06.
bit pos is 165, acc decrease is 6.4373016357421875e-06.
bit pos is 166, acc decrease is 2.384185791015625e-06.
bit pos is 167, acc decrease is 3.0994415283203125e-06.
bit pos is 168, acc decrease is -4.0531158447265625e-06.
bit pos is 169, acc decrease is -2.86102294921875e-06.
bit pos is 170, acc decrease is -2.1457672119140625e-06.
bit pos is 171, acc decrease is 4.76837158203125e-07.
bit pos is 172, acc decrease is 4.76837158203125e-07.
bit pos is 173, acc decrease is -3.337860107421875e-06.
bit pos is 174, acc decrease is -4.76837158203125e-06.
bit pos is 175, acc decrease is 3.337860107421875e-06.
bit pos is 176, acc decrease is 3.814697265625e-06.
bit pos is 177, acc decrease is 2.384185791015625e-07.
bit pos is 178, acc decrease is 1.430511474609375e-06.
bit pos is 179, acc decrease is 6.9141387939453125e-06.
bit pos is 180, acc decrease is -6.198883056640625e-06.
bit pos is 181, acc decrease is -4.291534423828125e-06.
bit pos is 182, acc decrease is -9.298324584960938e-06.
bit pos is 183, acc decrease is 5.9604644775390625e-06.
bit pos is 184, acc decrease is -9.5367431640625e-07.
bit pos is 185, acc decrease is -2.1457672119140625e-06.
bit pos is 186, acc decrease is 5.9604644775390625e-06.
bit pos is 187, acc decrease is 2.6226043701171875e-06.
bit pos is 188, acc decrease is -1.430511474609375e-06.
bit pos is 189, acc decrease is 6.198883056640625e-06.
bit pos is 190, acc decrease is 4.291534423828125e-06.
bit pos is 191, acc decrease is 4.76837158203125e-07.
bit pos is 192, acc decrease is 1.1920928955078125e-06.
bit pos is 193, acc decrease is -5.9604644775390625e-06.
bit pos is 194, acc decrease is -3.0279159545898438e-05.
bit pos is 195, acc decrease is -4.601478576660156e-05.
bit pos is 196, acc decrease is -1.71661376953125e-05.
bit pos is 197, acc decrease is -4.124641418457031e-05.
bit pos is 198, acc decrease is -2.5987625122070312e-05.
bit pos is 199, acc decrease is -2.6226043701171875e-05.
bit pos is 200, acc decrease is 3.933906555175781e-05.
bit pos is 201, acc decrease is 1.7404556274414062e-05.
bit pos is 202, acc decrease is -3.1948089599609375e-05.
bit pos is 203, acc decrease is 2.384185791015625e-07.
bit pos is 204, acc decrease is 4.76837158203125e-06.
bit pos is 205, acc decrease is 0.00022864341735839844.
bit pos is 206, acc decrease is 0.0011022090911865234.
bit pos is 207, acc decrease is 0.006353616714477539.
bit pos is 208, acc decrease is 0.02750539779663086.
bit pos is 209, acc decrease is 0.07105422019958496.
bit pos is 210, acc decrease is 0.10667300224304199.
bit pos is 211, acc decrease is 0.11629223823547363.
bit pos is 212, acc decrease is 0.10628867149353027.
bit pos is 213, acc decrease is 0.08251380920410156.
bit pos is 214, acc decrease is 8.106231689453125e-06.
bit pos is 215, acc decrease is 2.956390380859375e-05.
bit pos is 216, acc decrease is 0.0003085136413574219.
bit pos is 217, acc decrease is 0.0015041828155517578.
bit pos is 218, acc decrease is 0.005175113677978516.
