initial acc is 0.6548151969909668.
bit pos is 197, acc decrease is 0.0005152225494384766.
bit pos is 198, acc decrease is 0.0008978843688964844.
bit pos is 199, acc decrease is -1.5020370483398438e-05.
bit pos is 200, acc decrease is 0.0007114410400390625.
bit pos is 201, acc decrease is 0.0012874603271484375.
bit pos is 202, acc decrease is 2.4080276489257812e-05.
bit pos is 203, acc decrease is 0.00016999244689941406.
bit pos is 204, acc decrease is 0.0006291866302490234.
bit pos is 205, acc decrease is 0.00286865234375.
bit pos is 206, acc decrease is 0.013765573501586914.
bit pos is 207, acc decrease is 0.036829233169555664.
bit pos is 208, acc decrease is 0.050118446350097656.
bit pos is 209, acc decrease is 0.06957840919494629.
bit pos is 210, acc decrease is 0.05895066261291504.
bit pos is 211, acc decrease is 4.315376281738281e-05.
bit pos is 212, acc decrease is -6.9141387939453125e-06.
bit pos is 213, acc decrease is -6.961822509765625e-05.
bit pos is 214, acc decrease is -4.76837158203125e-07.
bit pos is 215, acc decrease is 0.00016355514526367188.
bit pos is 216, acc decrease is 0.0010695457458496094.
bit pos is 217, acc decrease is 0.007037639617919922.
bit pos is 218, acc decrease is 0.011526346206665039.
bit pos is 219, acc decrease is -2.6226043701171875e-06.
bit pos is 220, acc decrease is -3.123283386230469e-05.
bit pos is 221, acc decrease is -6.67572021484375e-06.
bit pos is 222, acc decrease is -4.649162292480469e-05.
bit pos is 223, acc decrease is -7.414817810058594e-05.
bit pos is 224, acc decrease is -2.4557113647460938e-05.
bit pos is 225, acc decrease is 4.649162292480469e-05.
bit pos is 226, acc decrease is -4.0531158447265625e-06.
bit pos is 227, acc decrease is -4.291534423828125e-06.
bit pos is 228, acc decrease is 4.291534423828125e-05.
bit pos is 229, acc decrease is 8.106231689453125e-06.
bit pos is 230, acc decrease is 3.719329833984375e-05.
bit pos is 231, acc decrease is 2.765655517578125e-05.
bit pos is 232, acc decrease is 2.0265579223632812e-05.
bit pos is 233, acc decrease is -5.0067901611328125e-06.
bit pos is 234, acc decrease is 8.273124694824219e-05.
bit pos is 235, acc decrease is -3.409385681152344e-05.
bit pos is 236, acc decrease is -5.412101745605469e-05.
bit pos is 237, acc decrease is -8.797645568847656e-05.
bit pos is 238, acc decrease is 5.0067901611328125e-05.
bit pos is 239, acc decrease is 2.9087066650390625e-05.
bit pos is 240, acc decrease is -2.1457672119140625e-05.
bit pos is 241, acc decrease is -3.075599670410156e-05.
bit pos is 242, acc decrease is -3.361701965332031e-05.
bit pos is 243, acc decrease is -4.291534423828125e-06.
bit pos is 244, acc decrease is 3.0517578125e-05.
bit pos is 245, acc decrease is -2.2411346435546875e-05.
bit pos is 246, acc decrease is -6.4373016357421875e-06.
bit pos is 247, acc decrease is -1.0013580322265625e-05.
bit pos is 248, acc decrease is 4.7206878662109375e-05.
bit pos is 249, acc decrease is -1.6689300537109375e-06.
bit pos is 250, acc decrease is -1.5735626220703125e-05.
bit pos is 251, acc decrease is 7.152557373046875e-07.
bit pos is 252, acc decrease is -8.821487426757812e-06.
bit pos is 253, acc decrease is -7.62939453125e-06.
bit pos is 254, acc decrease is 4.9591064453125e-05.
bit pos is 255, acc decrease is 3.0517578125e-05.
