initial acc is 0.569037675857544.
bit pos is 0, acc decrease is 0.007103085517883301.
bit pos is 1, acc decrease is 0.0004891157150268555.
bit pos is 2, acc decrease is 0.01731497049331665.
bit pos is 3, acc decrease is 0.011924326419830322.
bit pos is 4, acc decrease is 0.003209054470062256.
bit pos is 5, acc decrease is 0.00038355588912963867.
bit pos is 6, acc decrease is 0.01048421859741211.
bit pos is 7, acc decrease is 0.005079925060272217.
bit pos is 8, acc decrease is 2.580881118774414e-05.
bit pos is 9, acc decrease is 0.0001742243766784668.
bit pos is 10, acc decrease is 0.0004982352256774902.
bit pos is 11, acc decrease is 0.00019156932830810547.
bit pos is 12, acc decrease is 0.00012379884719848633.
bit pos is 13, acc decrease is 0.001399397850036621.
bit pos is 14, acc decrease is 0.0007790327072143555.
bit pos is 15, acc decrease is 0.0006992816925048828.
bit pos is 16, acc decrease is 0.0006720423698425293.
bit pos is 17, acc decrease is 0.0009227395057678223.
bit pos is 18, acc decrease is 0.001480400562286377.
bit pos is 19, acc decrease is 0.0043621063232421875.
bit pos is 20, acc decrease is 0.0028663277626037598.
bit pos is 21, acc decrease is 0.002254784107208252.
bit pos is 22, acc decrease is 0.0028554797172546387.
bit pos is 23, acc decrease is 0.010824024677276611.
bit pos is 24, acc decrease is 0.0058081746101379395.
bit pos is 25, acc decrease is 0.008860409259796143.
bit pos is 26, acc decrease is 0.0053345561027526855.
bit pos is 27, acc decrease is 0.004297316074371338.
bit pos is 28, acc decrease is 0.009123384952545166.
bit pos is 29, acc decrease is 0.022462785243988037.
bit pos is 30, acc decrease is 0.01695019006729126.
bit pos is 31, acc decrease is 0.008540928363800049.
bit pos is 32, acc decrease is -6.794929504394531e-06.
bit pos is 33, acc decrease is -9.834766387939453e-06.
bit pos is 34, acc decrease is -1.9788742065429688e-05.
bit pos is 35, acc decrease is -7.271766662597656e-06.
bit pos is 36, acc decrease is -7.987022399902344e-06.
bit pos is 37, acc decrease is -8.165836334228516e-06.
bit pos is 38, acc decrease is -1.1801719665527344e-05.
bit pos is 39, acc decrease is -4.827976226806641e-06.
bit pos is 40, acc decrease is -2.8014183044433594e-06.
bit pos is 41, acc decrease is -5.066394805908203e-06.
bit pos is 42, acc decrease is -4.0531158447265625e-06.
bit pos is 43, acc decrease is -7.152557373046875e-07.
bit pos is 44, acc decrease is -5.364418029785156e-07.
bit pos is 45, acc decrease is 1.8477439880371094e-06.
bit pos is 46, acc decrease is 2.086162567138672e-06.
bit pos is 47, acc decrease is 2.2649765014648438e-06.
bit pos is 48, acc decrease is -3.4570693969726562e-06.
bit pos is 49, acc decrease is 4.0531158447265625e-06.
bit pos is 50, acc decrease is 3.337860107421875e-06.
bit pos is 51, acc decrease is -1.7881393432617188e-07.
bit pos is 52, acc decrease is -1.9073486328125e-06.
bit pos is 53, acc decrease is -1.4901161193847656e-06.
bit pos is 54, acc decrease is 5.0067901611328125e-06.
bit pos is 55, acc decrease is 3.993511199951172e-06.
bit pos is 56, acc decrease is -1.3887882232666016e-05.
bit pos is 57, acc decrease is 4.291534423828125e-06.
bit pos is 58, acc decrease is -6.67572021484375e-06.
bit pos is 59, acc decrease is -4.291534423828125e-06.
bit pos is 60, acc decrease is -1.3709068298339844e-06.
bit pos is 61, acc decrease is -2.0265579223632812e-06.
bit pos is 62, acc decrease is -1.1444091796875e-05.
bit pos is 63, acc decrease is -5.781650543212891e-06.
bit pos is 64, acc decrease is 0.00820833444595337.
bit pos is 65, acc decrease is 0.006417512893676758.
bit pos is 66, acc decrease is 0.0008345246315002441.
bit pos is 67, acc decrease is 5.9604644775390625e-05.
bit pos is 68, acc decrease is 0.00988614559173584.
bit pos is 69, acc decrease is 0.0055449604988098145.
bit pos is 70, acc decrease is 0.0006632804870605469.
bit pos is 71, acc decrease is -8.285045623779297e-06.
bit pos is 72, acc decrease is 0.0051898956298828125.
bit pos is 73, acc decrease is 7.456541061401367e-05.
bit pos is 74, acc decrease is -8.165836334228516e-06.
bit pos is 75, acc decrease is 0.0001251697540283203.
bit pos is 76, acc decrease is 7.683038711547852e-05.
bit pos is 77, acc decrease is -1.1861324310302734e-05.
bit pos is 78, acc decrease is 1.7702579498291016e-05.
bit pos is 79, acc decrease is 0.0004901289939880371.
bit pos is 80, acc decrease is 5.3942203521728516e-05.
bit pos is 81, acc decrease is 0.0002866387367248535.
bit pos is 82, acc decrease is 0.00020879507064819336.
bit pos is 83, acc decrease is 0.00023412704467773438.
bit pos is 84, acc decrease is 0.00023537874221801758.
bit pos is 85, acc decrease is 0.0026033520698547363.
bit pos is 86, acc decrease is 0.0011880993843078613.
bit pos is 87, acc decrease is 0.0010152459144592285.
bit pos is 88, acc decrease is 0.0010021328926086426.
bit pos is 89, acc decrease is 0.001554250717163086.
bit pos is 90, acc decrease is 0.0024809837341308594.
bit pos is 91, acc decrease is 0.005712151527404785.
bit pos is 92, acc decrease is 0.0034202933311462402.
bit pos is 93, acc decrease is 0.0025148391723632812.
bit pos is 94, acc decrease is 0.0037767887115478516.
bit pos is 95, acc decrease is 0.016096651554107666.
