initial acc is 0.7740200161933899.
bit pos is 0, acc decrease is 0.025190353393554688.
bit pos is 1, acc decrease is 0.0194016695022583.
bit pos is 2, acc decrease is 0.024723172187805176.
bit pos is 3, acc decrease is 0.0031912922859191895.
bit pos is 4, acc decrease is 0.003267228603363037.
bit pos is 5, acc decrease is 0.0010398030281066895.
bit pos is 6, acc decrease is 0.003599107265472412.
bit pos is 7, acc decrease is 0.011513233184814453.
bit pos is 8, acc decrease is 0.048118770122528076.
bit pos is 9, acc decrease is 0.08206552267074585.
bit pos is 10, acc decrease is 0.055464208126068115.
bit pos is 11, acc decrease is 0.0350382924079895.
bit pos is 12, acc decrease is 1.7523765563964844e-05.
bit pos is 13, acc decrease is 5.799531936645508e-05.
bit pos is 14, acc decrease is 4.744529724121094e-05.
bit pos is 15, acc decrease is 2.086162567138672e-06.
bit pos is 16, acc decrease is 0.016928672790527344.
bit pos is 17, acc decrease is 0.05430537462234497.
bit pos is 18, acc decrease is 0.12891089916229248.
bit pos is 19, acc decrease is 0.11737048625946045.
bit pos is 20, acc decrease is 0.006956160068511963.
bit pos is 21, acc decrease is 0.01076507568359375.
bit pos is 22, acc decrease is 0.001997530460357666.
bit pos is 23, acc decrease is 0.008558511734008789.
bit pos is 24, acc decrease is 0.030885636806488037.
bit pos is 25, acc decrease is 0.110027015209198.
bit pos is 26, acc decrease is 0.151425302028656.
bit pos is 27, acc decrease is 0.10246866941452026.
bit pos is 28, acc decrease is 0.08661055564880371.
bit pos is 29, acc decrease is 1.913309097290039e-05.
bit pos is 30, acc decrease is 0.0001074671745300293.
bit pos is 31, acc decrease is 0.0003669857978820801.
bit pos is 32, acc decrease is 7.271766662597656e-06.
bit pos is 33, acc decrease is -2.485513687133789e-05.
bit pos is 34, acc decrease is -9.298324584960938e-06.
bit pos is 35, acc decrease is 2.682209014892578e-06.
bit pos is 36, acc decrease is -1.4901161193847656e-06.
bit pos is 37, acc decrease is -1.0311603546142578e-05.
bit pos is 38, acc decrease is 8.344650268554688e-07.
bit pos is 39, acc decrease is 7.152557373046875e-06.
bit pos is 40, acc decrease is 0.00026661157608032227.
bit pos is 41, acc decrease is 0.08230358362197876.
bit pos is 42, acc decrease is 4.76837158203125e-06.
bit pos is 43, acc decrease is 1.913309097290039e-05.
bit pos is 44, acc decrease is -9.5367431640625e-07.
bit pos is 45, acc decrease is -1.9609928131103516e-05.
bit pos is 46, acc decrease is -1.7881393432617188e-07.
bit pos is 47, acc decrease is -3.2186508178710938e-06.
bit pos is 48, acc decrease is 0.013708829879760742.
bit pos is 49, acc decrease is 0.02723526954650879.
bit pos is 50, acc decrease is 0.061942219734191895.
bit pos is 51, acc decrease is 0.06368184089660645.
bit pos is 52, acc decrease is 0.006875932216644287.
bit pos is 53, acc decrease is 0.010304629802703857.
bit pos is 54, acc decrease is 0.00040084123611450195.
bit pos is 55, acc decrease is 0.0023357272148132324.
bit pos is 56, acc decrease is 0.013158619403839111.
bit pos is 57, acc decrease is 0.08190661668777466.
bit pos is 58, acc decrease is 0.136724054813385.
bit pos is 59, acc decrease is 0.0990787148475647.
bit pos is 60, acc decrease is 0.08022546768188477.
bit pos is 61, acc decrease is -5.4836273193359375e-06.
bit pos is 62, acc decrease is 9.173154830932617e-05.
bit pos is 63, acc decrease is 0.00014400482177734375.
