initial acc is 0.5664941072463989.
bit pos is 0, acc decrease is 0.003322899341583252.
bit pos is 1, acc decrease is 0.007547914981842041.
bit pos is 2, acc decrease is 0.009131014347076416.
bit pos is 3, acc decrease is 0.004749715328216553.
bit pos is 4, acc decrease is 0.004658222198486328.
bit pos is 5, acc decrease is 9.584426879882812e-05.
bit pos is 6, acc decrease is 0.00027614831924438477.
bit pos is 7, acc decrease is 0.0009783506393432617.
bit pos is 8, acc decrease is 0.0026303529739379883.
bit pos is 9, acc decrease is 0.006526052951812744.
bit pos is 10, acc decrease is 0.01587045192718506.
bit pos is 11, acc decrease is 0.017191708087921143.
bit pos is 12, acc decrease is 3.6835670471191406e-05.
bit pos is 13, acc decrease is -7.212162017822266e-06.
bit pos is 14, acc decrease is 1.5079975128173828e-05.
bit pos is 15, acc decrease is -2.682209014892578e-06.
bit pos is 16, acc decrease is 0.0023539066314697266.
bit pos is 17, acc decrease is 0.005941510200500488.
bit pos is 18, acc decrease is 0.02869802713394165.
bit pos is 19, acc decrease is 0.050739288330078125.
bit pos is 20, acc decrease is 0.009371817111968994.
bit pos is 21, acc decrease is 0.01181727647781372.
bit pos is 22, acc decrease is 0.00016123056411743164.
bit pos is 23, acc decrease is 0.0006930828094482422.
bit pos is 24, acc decrease is 0.0018927454948425293.
bit pos is 25, acc decrease is 0.00728994607925415.
bit pos is 26, acc decrease is 0.02227163314819336.
bit pos is 27, acc decrease is 0.03356069326400757.
bit pos is 28, acc decrease is 0.04436081647872925.
bit pos is 29, acc decrease is 8.761882781982422e-06.
bit pos is 30, acc decrease is -1.9669532775878906e-05.
bit pos is 31, acc decrease is -3.0040740966796875e-05.
bit pos is 32, acc decrease is 1.7881393432617188e-06.
bit pos is 33, acc decrease is 5.304813385009766e-06.
bit pos is 34, acc decrease is -2.86102294921875e-06.
bit pos is 35, acc decrease is -1.430511474609375e-06.
bit pos is 36, acc decrease is 1.049041748046875e-05.
bit pos is 37, acc decrease is -6.556510925292969e-07.
bit pos is 38, acc decrease is 5.364418029785156e-07.
bit pos is 39, acc decrease is -8.404254913330078e-06.
bit pos is 40, acc decrease is 5.304813385009766e-06.
bit pos is 41, acc decrease is -2.384185791015625e-07.
bit pos is 42, acc decrease is 4.887580871582031e-06.
bit pos is 43, acc decrease is -4.708766937255859e-06.
bit pos is 44, acc decrease is -3.7550926208496094e-06.
bit pos is 45, acc decrease is 5.960464477539063e-08.
bit pos is 46, acc decrease is -2.8014183044433594e-06.
bit pos is 47, acc decrease is -2.6226043701171875e-06.
bit pos is 48, acc decrease is 0.0011230707168579102.
bit pos is 49, acc decrease is 0.003814995288848877.
bit pos is 50, acc decrease is 0.0124586820602417.
bit pos is 51, acc decrease is 0.021131396293640137.
bit pos is 52, acc decrease is 0.009410738945007324.
bit pos is 53, acc decrease is 0.011793553829193115.
bit pos is 54, acc decrease is 4.869699478149414e-05.
bit pos is 55, acc decrease is 0.0001461505889892578.
bit pos is 56, acc decrease is 0.0008687973022460938.
bit pos is 57, acc decrease is 0.0028795599937438965.
bit pos is 58, acc decrease is 0.005884289741516113.
bit pos is 59, acc decrease is 0.02483975887298584.
bit pos is 60, acc decrease is 0.03462719917297363.
bit pos is 61, acc decrease is 1.4901161193847656e-05.
bit pos is 62, acc decrease is 2.092123031616211e-05.
bit pos is 63, acc decrease is 2.002716064453125e-05.
