test bst, diff pos is 55.
initial acc is 0.6137394905090332.
bit pos is 0, acc decrease is 0.0033609867095947266.
bit pos is 1, acc decrease is 0.0022041797637939453.
bit pos is 2, acc decrease is 0.0002841949462890625.
bit pos is 3, acc decrease is 0.0005097389221191406.
bit pos is 4, acc decrease is 0.0011394023895263672.
bit pos is 5, acc decrease is 0.0017704963684082031.
bit pos is 6, acc decrease is 0.002599954605102539.
bit pos is 7, acc decrease is 0.006672859191894531.
bit pos is 8, acc decrease is 0.014400482177734375.
bit pos is 9, acc decrease is 0.013656139373779297.
bit pos is 10, acc decrease is 0.00010013580322265625.
bit pos is 11, acc decrease is 0.000274658203125.
bit pos is 12, acc decrease is 0.00067901611328125.
bit pos is 13, acc decrease is 0.0014328956604003906.
bit pos is 14, acc decrease is 0.0034155845642089844.
bit pos is 15, acc decrease is 0.0073604583740234375.
bit pos is 16, acc decrease is 0.013055562973022461.
bit pos is 17, acc decrease is 0.010923385620117188.
bit pos is 18, acc decrease is 9.799003601074219e-05.
bit pos is 19, acc decrease is 9.942054748535156e-05.
bit pos is 20, acc decrease is 9.012222290039062e-05.
bit pos is 21, acc decrease is -2.86102294921875e-06.
bit pos is 22, acc decrease is 8.320808410644531e-05.
bit pos is 23, acc decrease is 7.891654968261719e-05.
bit pos is 24, acc decrease is 0.00024962425231933594.
bit pos is 25, acc decrease is 0.0002696514129638672.
bit pos is 26, acc decrease is 6.103515625e-05.
bit pos is 27, acc decrease is 9.036064147949219e-05.
bit pos is 28, acc decrease is 9.989738464355469e-05.
bit pos is 29, acc decrease is -5.0067901611328125e-05.
bit pos is 30, acc decrease is -3.266334533691406e-05.
bit pos is 31, acc decrease is 2.6226043701171875e-06.
bit pos is 32, acc decrease is 1.6927719116210938e-05.
bit pos is 33, acc decrease is 9.751319885253906e-05.
bit pos is 34, acc decrease is 0.0001430511474609375.
bit pos is 35, acc decrease is 0.00017786026000976562.
bit pos is 36, acc decrease is 0.0002048015594482422.
bit pos is 37, acc decrease is 0.00013518333435058594.
bit pos is 38, acc decrease is 0.000171661376953125.
bit pos is 39, acc decrease is 5.5789947509765625e-05.
bit pos is 40, acc decrease is -2.6941299438476562e-05.
bit pos is 41, acc decrease is 9.751319885253906e-05.
bit pos is 42, acc decrease is 0.00020956993103027344.
bit pos is 43, acc decrease is 0.0007023811340332031.
bit pos is 44, acc decrease is 0.0015614032745361328.
bit pos is 45, acc decrease is 0.0024051666259765625.
bit pos is 46, acc decrease is 0.0015690326690673828.
bit pos is 47, acc decrease is 9.5367431640625e-07.
bit pos is 48, acc decrease is 0.010686397552490234.
bit pos is 49, acc decrease is 0.006108522415161133.
bit pos is 50, acc decrease is 0.005471706390380859.
bit pos is 51, acc decrease is 0.0004918575286865234.
bit pos is 52, acc decrease is 0.0010528564453125.
bit pos is 53, acc decrease is 0.002015352249145508.
bit pos is 54, acc decrease is 0.0036687850952148438.
bit pos is 55, acc decrease is 0.0058803558349609375.
bit pos is 56, acc decrease is 0.021975278854370117.
bit pos is 57, acc decrease is 0.03359055519104004.
bit pos is 58, acc decrease is 0.04237222671508789.
bit pos is 59, acc decrease is 0.00023436546325683594.
bit pos is 60, acc decrease is 0.0005567073822021484.
bit pos is 61, acc decrease is 0.0013213157653808594.
bit pos is 62, acc decrease is 0.003313302993774414.
bit pos is 63, acc decrease is 0.007906198501586914.
bit pos is 64, acc decrease is 0.020067691802978516.
bit pos is 65, acc decrease is 0.04886794090270996.
bit pos is 66, acc decrease is 0.06476044654846191.
bit pos is 67, acc decrease is 0.00021195411682128906.
bit pos is 68, acc decrease is 0.00041103363037109375.
bit pos is 69, acc decrease is 0.0007224082946777344.
bit pos is 70, acc decrease is 0.00022029876708984375.
bit pos is 71, acc decrease is 0.002275228500366211.
bit pos is 72, acc decrease is 0.009428024291992188.
bit pos is 73, acc decrease is 0.025414705276489258.
bit pos is 74, acc decrease is 0.0316312313079834.
bit pos is 75, acc decrease is 0.000164031982421875.
bit pos is 76, acc decrease is 0.00011444091796875.
bit pos is 77, acc decrease is 0.00028204917907714844.
bit pos is 78, acc decrease is -5.793571472167969e-05.
bit pos is 79, acc decrease is 6.9141387939453125e-06.
bit pos is 80, acc decrease is 8.130073547363281e-05.
bit pos is 81, acc decrease is 0.0002524852752685547.
bit pos is 82, acc decrease is 0.0007603168487548828.
bit pos is 83, acc decrease is 0.00033974647521972656.
bit pos is 84, acc decrease is 0.0005216598510742188.
bit pos is 85, acc decrease is 0.0007729530334472656.
bit pos is 86, acc decrease is 0.0001418590545654297.
bit pos is 87, acc decrease is 0.00029850006103515625.
