test bst, diff pos is 55.
bit pos is 88, acc decrease is 0.00027751922607421875.
bit pos is 89, acc decrease is 1.4543533325195312e-05.
bit pos is 90, acc decrease is 7.581710815429688e-05.
bit pos is 91, acc decrease is 0.00036907196044921875.
bit pos is 92, acc decrease is 0.001306295394897461.
bit pos is 93, acc decrease is 0.003387928009033203.
bit pos is 94, acc decrease is 0.005681037902832031.
bit pos is 95, acc decrease is 0.00507354736328125.
bit pos is 96, acc decrease is -2.384185791015625e-07.
bit pos is 97, acc decrease is 1.1682510375976562e-05.
bit pos is 98, acc decrease is -4.76837158203125e-06.
bit pos is 99, acc decrease is -1.3113021850585938e-05.
bit pos is 100, acc decrease is -3.814697265625e-06.
bit pos is 101, acc decrease is 4.76837158203125e-06.
bit pos is 102, acc decrease is 3.814697265625e-06.
bit pos is 103, acc decrease is 1.7881393432617188e-05.
bit pos is 104, acc decrease is 1.2159347534179688e-05.
bit pos is 105, acc decrease is -4.0531158447265625e-06.
bit pos is 106, acc decrease is -1.1682510375976562e-05.
bit pos is 107, acc decrease is -1.3828277587890625e-05.
bit pos is 108, acc decrease is -7.152557373046875e-07.
bit pos is 109, acc decrease is 2.384185791015625e-06.
bit pos is 110, acc decrease is 8.106231689453125e-06.
bit pos is 111, acc decrease is 4.76837158203125e-07.
bit pos is 112, acc decrease is 2.6226043701171875e-06.
bit pos is 113, acc decrease is 1.430511474609375e-05.
bit pos is 114, acc decrease is 1.1920928955078125e-06.
bit pos is 115, acc decrease is -5.7220458984375e-06.
bit pos is 116, acc decrease is 5.0067901611328125e-06.
bit pos is 117, acc decrease is 2.1457672119140625e-06.
bit pos is 118, acc decrease is 4.76837158203125e-06.
bit pos is 119, acc decrease is -5.9604644775390625e-06.
bit pos is 120, acc decrease is -2.1457672119140625e-06.
bit pos is 121, acc decrease is -2.384185791015625e-06.
bit pos is 122, acc decrease is -1.1920928955078125e-06.
bit pos is 123, acc decrease is -5.0067901611328125e-06.
bit pos is 124, acc decrease is 0.0.
bit pos is 125, acc decrease is -9.059906005859375e-06.
bit pos is 126, acc decrease is -1.1920928955078125e-06.
bit pos is 127, acc decrease is 1.430511474609375e-06.
bit pos is 128, acc decrease is 1.6689300537109375e-06.
bit pos is 129, acc decrease is 4.0531158447265625e-06.
bit pos is 130, acc decrease is 1.1920928955078125e-06.
bit pos is 131, acc decrease is -4.76837158203125e-06.
bit pos is 132, acc decrease is -3.814697265625e-06.
bit pos is 133, acc decrease is -1.9073486328125e-06.
bit pos is 134, acc decrease is 6.67572021484375e-06.
bit pos is 135, acc decrease is 1.430511474609375e-06.
bit pos is 136, acc decrease is -1.6689300537109375e-06.
bit pos is 137, acc decrease is 6.67572021484375e-06.
bit pos is 138, acc decrease is -7.3909759521484375e-06.
bit pos is 139, acc decrease is -1.2159347534179688e-05.
bit pos is 140, acc decrease is -3.0994415283203125e-06.
bit pos is 141, acc decrease is 5.7220458984375e-06.
bit pos is 142, acc decrease is -9.5367431640625e-07.
bit pos is 143, acc decrease is 1.6689300537109375e-06.
bit pos is 144, acc decrease is 0.010185956954956055.
bit pos is 145, acc decrease is 0.006177186965942383.
bit pos is 146, acc decrease is 0.005471706390380859.
bit pos is 147, acc decrease is 0.00020766258239746094.
bit pos is 148, acc decrease is 0.000736236572265625.
bit pos is 149, acc decrease is 0.001718759536743164.
bit pos is 150, acc decrease is 0.0026061534881591797.
bit pos is 151, acc decrease is 0.002928495407104492.
bit pos is 152, acc decrease is 0.007207632064819336.
bit pos is 153, acc decrease is 0.028119325637817383.
bit pos is 154, acc decrease is 0.03793025016784668.
bit pos is 155, acc decrease is 9.72747802734375e-05.
bit pos is 156, acc decrease is 0.00038743019104003906.
bit pos is 157, acc decrease is 0.0008265972137451172.
bit pos is 158, acc decrease is 0.0013287067413330078.
bit pos is 159, acc decrease is 0.0046346187591552734.
bit pos is 160, acc decrease is 0.011508703231811523.
bit pos is 161, acc decrease is 0.02697300910949707.
bit pos is 162, acc decrease is 0.030954360961914062.
bit pos is 163, acc decrease is 0.00011014938354492188.
bit pos is 164, acc decrease is 0.00015687942504882812.
bit pos is 165, acc decrease is 0.0002148151397705078.
bit pos is 166, acc decrease is -2.7894973754882812e-05.
bit pos is 167, acc decrease is 5.316734313964844e-05.
bit pos is 168, acc decrease is 0.00010633468627929688.
bit pos is 169, acc decrease is 0.0003561973571777344.
bit pos is 170, acc decrease is 0.0007987022399902344.
bit pos is 171, acc decrease is 0.00014352798461914062.
bit pos is 172, acc decrease is 0.00019121170043945312.
bit pos is 173, acc decrease is 0.00020074844360351562.
bit pos is 174, acc decrease is -5.91278076171875e-05.
bit pos is 175, acc decrease is -2.5510787963867188e-05.
bit pos is 176, acc decrease is -5.650520324707031e-05.
bit pos is 177, acc decrease is -3.981590270996094e-05.
bit pos is 178, acc decrease is 2.09808349609375e-05.
bit pos is 179, acc decrease is -2.6226043701171875e-06.
bit pos is 180, acc decrease is 0.00035262107849121094.
bit pos is 181, acc decrease is 0.0004591941833496094.
bit pos is 182, acc decrease is 6.961822509765625e-05.
bit pos is 183, acc decrease is 0.0002810955047607422.
bit pos is 184, acc decrease is 0.00030112266540527344.
bit pos is 185, acc decrease is -2.6702880859375e-05.
bit pos is 186, acc decrease is 3.8623809814453125e-05.
bit pos is 187, acc decrease is 0.00014281272888183594.
bit pos is 188, acc decrease is 0.0007088184356689453.
bit pos is 189, acc decrease is 0.002790212631225586.
bit pos is 190, acc decrease is 0.005761146545410156.
bit pos is 191, acc decrease is 0.004809141159057617.
