test bst, diff pos is (47, 55).
initial acc is 0.5313246250152588.
bit pos is 118, acc decrease is 3.5762786865234375e-06.
bit pos is 119, acc decrease is 1.71661376953125e-05.
bit pos is 120, acc decrease is -2.384185791015625e-07.
bit pos is 121, acc decrease is -9.059906005859375e-06.
bit pos is 122, acc decrease is -4.0531158447265625e-06.
bit pos is 123, acc decrease is 1.4543533325195312e-05.
bit pos is 124, acc decrease is 7.152557373046875e-07.
bit pos is 125, acc decrease is -1.6689300537109375e-06.
bit pos is 126, acc decrease is 1.6450881958007812e-05.
bit pos is 127, acc decrease is 7.62939453125e-06.
bit pos is 128, acc decrease is -5.7220458984375e-06.
bit pos is 129, acc decrease is -1.0251998901367188e-05.
bit pos is 130, acc decrease is -7.152557373046875e-06.
bit pos is 131, acc decrease is 9.059906005859375e-06.
bit pos is 132, acc decrease is -3.5762786865234375e-06.
bit pos is 133, acc decrease is -1.9073486328125e-06.
bit pos is 134, acc decrease is 9.298324584960938e-06.
bit pos is 135, acc decrease is -2.384185791015625e-06.
bit pos is 136, acc decrease is 2.86102294921875e-06.
bit pos is 137, acc decrease is -1.52587890625e-05.
bit pos is 138, acc decrease is 1.9073486328125e-06.
bit pos is 139, acc decrease is 1.621246337890625e-05.
bit pos is 140, acc decrease is -8.106231689453125e-06.
bit pos is 141, acc decrease is 2.1457672119140625e-06.
bit pos is 142, acc decrease is -5.0067901611328125e-06.
bit pos is 143, acc decrease is -2.384185791015625e-06.
bit pos is 144, acc decrease is 0.00021147727966308594.
bit pos is 145, acc decrease is 0.0004210472106933594.
bit pos is 146, acc decrease is 0.00014710426330566406.
bit pos is 147, acc decrease is 8.58306884765625e-05.
bit pos is 148, acc decrease is 0.00041961669921875.
bit pos is 149, acc decrease is 0.00017952919006347656.
bit pos is 150, acc decrease is 2.384185791015625e-05.
bit pos is 151, acc decrease is 0.00022840499877929688.
bit pos is 152, acc decrease is 0.0007624626159667969.
bit pos is 153, acc decrease is 0.002188444137573242.
bit pos is 154, acc decrease is 0.003136873245239258.
bit pos is 155, acc decrease is 0.002067089080810547.
bit pos is 156, acc decrease is 0.003415822982788086.
bit pos is 157, acc decrease is 0.003611326217651367.
bit pos is 158, acc decrease is 0.0012743473052978516.
bit pos is 159, acc decrease is 0.0007848739624023438.
bit pos is 160, acc decrease is 0.0005285739898681641.
bit pos is 161, acc decrease is 8.869171142578125e-05.
bit pos is 162, acc decrease is 0.0008606910705566406.
bit pos is 163, acc decrease is 0.0049250125885009766.
bit pos is 164, acc decrease is 0.015187978744506836.
bit pos is 165, acc decrease is 0.017905473709106445.
