test bst, diff pos is (47, 55).
initial acc is 0.7003252506256104.
bit pos is 121, acc decrease is 9.5367431640625e-07.
bit pos is 122, acc decrease is -5.245208740234375e-06.
bit pos is 123, acc decrease is 1.6689300537109375e-06.
bit pos is 124, acc decrease is -2.384185791015625e-06.
bit pos is 125, acc decrease is 4.76837158203125e-06.
bit pos is 126, acc decrease is 1.430511474609375e-06.
bit pos is 127, acc decrease is 0.0.
bit pos is 128, acc decrease is -7.152557373046875e-07.
bit pos is 129, acc decrease is 2.384185791015625e-06.
bit pos is 130, acc decrease is 0.0.
bit pos is 131, acc decrease is 3.814697265625e-06.
bit pos is 132, acc decrease is 2.1457672119140625e-06.
bit pos is 133, acc decrease is -1.1920928955078125e-06.
bit pos is 134, acc decrease is 4.76837158203125e-07.
bit pos is 135, acc decrease is 5.0067901611328125e-06.
bit pos is 136, acc decrease is 3.337860107421875e-06.
bit pos is 137, acc decrease is 1.430511474609375e-06.
bit pos is 138, acc decrease is 4.0531158447265625e-06.
bit pos is 139, acc decrease is 2.86102294921875e-06.
bit pos is 140, acc decrease is -1.9073486328125e-06.
bit pos is 141, acc decrease is 4.76837158203125e-07.
bit pos is 142, acc decrease is 2.86102294921875e-06.
bit pos is 143, acc decrease is 2.384185791015625e-07.
bit pos is 144, acc decrease is 0.0023543834686279297.
bit pos is 145, acc decrease is 0.003743886947631836.
bit pos is 146, acc decrease is 0.003203868865966797.
bit pos is 147, acc decrease is 0.002327442169189453.
bit pos is 148, acc decrease is 0.0038237571716308594.
bit pos is 149, acc decrease is 0.002960681915283203.
bit pos is 150, acc decrease is 0.0005598068237304688.
bit pos is 151, acc decrease is 0.001088857650756836.
bit pos is 152, acc decrease is 0.002282857894897461.
bit pos is 153, acc decrease is 0.003841400146484375.
bit pos is 154, acc decrease is 0.003008127212524414.
bit pos is 155, acc decrease is 0.004464149475097656.
bit pos is 156, acc decrease is 0.01445460319519043.
bit pos is 157, acc decrease is 0.020641803741455078.
bit pos is 158, acc decrease is 0.0005304813385009766.
bit pos is 159, acc decrease is 0.0016894340515136719.
bit pos is 160, acc decrease is 0.005757808685302734.
bit pos is 161, acc decrease is 0.018545866012573242.
bit pos is 162, acc decrease is 0.04457688331604004.
bit pos is 163, acc decrease is 0.06592631340026855.
bit pos is 164, acc decrease is 0.06948018074035645.
bit pos is 165, acc decrease is 0.05856037139892578.
bit pos is 166, acc decrease is 0.00772857666015625.
bit pos is 167, acc decrease is 0.0016412734985351562.
bit pos is 168, acc decrease is 0.0006885528564453125.
bit pos is 169, acc decrease is 0.00010728836059570312.
bit pos is 170, acc decrease is 0.0004227161407470703.
bit pos is 171, acc decrease is 0.0019829273223876953.
bit pos is 172, acc decrease is 0.007886409759521484.
bit pos is 173, acc decrease is 0.0147705078125.
bit pos is 174, acc decrease is 0.007404804229736328.
bit pos is 175, acc decrease is 0.0015745162963867188.
bit pos is 176, acc decrease is 0.0006561279296875.
bit pos is 177, acc decrease is -6.9141387939453125e-06.
bit pos is 178, acc decrease is -4.267692565917969e-05.
bit pos is 179, acc decrease is -2.6226043701171875e-06.
bit pos is 180, acc decrease is -2.1696090698242188e-05.
bit pos is 181, acc decrease is -7.152557373046875e-07.
bit pos is 182, acc decrease is -2.09808349609375e-05.
bit pos is 183, acc decrease is 5.7220458984375e-06.
bit pos is 184, acc decrease is 6.198883056640625e-06.
bit pos is 185, acc decrease is 8.821487426757812e-06.
bit pos is 186, acc decrease is -2.86102294921875e-06.
bit pos is 187, acc decrease is -1.6927719116210938e-05.
bit pos is 188, acc decrease is 1.049041748046875e-05.
bit pos is 189, acc decrease is -2.1457672119140625e-06.
bit pos is 190, acc decrease is -1.239776611328125e-05.
bit pos is 191, acc decrease is -1.9550323486328125e-05.
